municipality,girls_perc,boys_perc,year,latitude,longitude
Sotenäs,5.8,9.8,2020,58.3765157894737,11.264015789473683
Staffanstorp,2.2,5.9,2016,55.65203666666668,13.197426666666667
Staffanstorp,3.5,6.7,2020,55.65203666666668,13.197426666666667
Stenungsund,2.5,6.2,2016,58.05593846153848,11.83360512820513
Stenungsund,2.8,4.3,2020,58.05593846153848,11.83360512820513
Stockholm,2.9,6.0,2016,59.32567250922502,18.012277736777563
Stockholm,4.1,7.6,2020,59.32567250922502,18.012277736777563
Stockholm,4.1,7.6,2020,59.32567250922502,18.012277736777563
Storfors,5.2,8.1,2016,59.53179999999999,14.272000000000002
Storfors,6.6,10.7,2020,59.53179999999999,14.272000000000002
Storuman,7.7,9.9,2016,65.1247888888889,17.059816666666666
Storuman,10.2,14.6,2020,65.1247888888889,17.059816666666666
Strängnäs,2.8,6.1,2016,59.34027500000005,17.06807499999999
Strängnäs,4.0,8.1,2020,59.34027500000005,17.06807499999999
Strömstad,3.1,6.0,2016,58.91881714285714,11.202022857142858
Strömstad,2.5,4.6,2020,58.91881714285714,11.202022857142858
Strömsund,1.4,2.7,2016,63.876544117647065,15.51994999999999
Strömsund,2.9,6.2,2020,63.876544117647065,15.51994999999999
Sundbyberg,1.9,4.8,2016,59.36091538461536,17.9726846153846
Sundbyberg,2.8,6.3,2020,59.36091538461536,17.9726846153846
Sundbyberg,2.8,6.3,2020,59.36091538461536,17.9726846153846
Sundsvall,1.9,4.6,2016,62.389248473282215,17.296533969465717
Sundsvall,2.5,5.9,2020,62.389248473282215,17.296533969465717
Sunne,3.1,4.1,2016,59.84491304347826,13.134913043478258
Sunne,3.3,4.8,2020,59.84491304347826,13.134913043478258
Surahammar,2.4,6.4,2016,59.71210625000001,16.210500000000003
Surahammar,6.3,8.4,2020,59.71210625000001,16.210500000000003
Svalöv,2.7,6.9,2016,55.93480833333334,13.106533333333337
Svalöv,3.4,9.0,2020,55.93480833333334,13.106533333333337
Svedala,4.3,7.5,2016,55.512514814814814,13.22903703703703
Svedala,4.5,8.5,2020,55.512514814814814,13.22903703703703
Svenljunga,1.7,4.6,2016,57.45277187499999,13.058665624999998
Svenljunga,1.7,5.6,2020,57.45277187499999,13.058665624999998
Täby,3.3,6.3,2016,59.444308108108245,18.06842612612615
Täby,4.3,8.7,2020,59.444308108108245,18.06842612612615
Täby,4.3,8.7,2020,59.444308108108245,18.06842612612615
Tanum,4.3,9.2,2016,58.69234583333333,11.31852083333333
Tanum,4.7,8.2,2020,58.69234583333333,11.31852083333333
Tibro,1.6,6.2,2016,58.43938181818182,14.152531818181814
Tibro,1.7,6.7,2020,58.43938181818182,14.152531818181814
Tidaholm,4.9,11.7,2016,58.180112499999986,13.941220833333333
Tidaholm,4.5,8.6,2020,58.180112499999986,13.941220833333333
Tierp,1.8,7.4,2016,60.324173170731704,17.515065853658538
Tierp,4.0,7.5,2020,60.324173170731704,17.515065853658538
Tierp,4.0,7.5,2020,60.324173170731704,17.515065853658538
Timrå,3.4,6.1,2016,62.484194999999985,17.330995
Timrå,4.2,7.1,2020,62.484194999999985,17.330995
Tingsryd,,4.0,2016,56.54716000000001,14.963806666666672
Tingsryd,2.8,5.6,2020,56.54716000000001,14.963806666666672
Tjörn,2.5,7.3,2016,57.98688249999999,11.611787499999997
Tjörn,3.8,5.5,2020,57.98688249999999,11.611787499999997
Tomelilla,2.3,5.3,2016,55.56181304347827,13.984256521739125
Tomelilla,4.0,7.6,2020,55.56181304347827,13.984256521739125
Töreboda,3.8,11.4,2016,58.683244000000016,14.121684
Töreboda,6.6,12.7,2020,58.683244000000016,14.121684
Torsås,,4.3,2016,56.438244,16.039952000000003
Torsås,2.0,6.5,2020,56.438244,16.039952000000003
Torsby,1.9,3.5,2016,60.25510399999999,13.007987999999996
Torsby,3.0,6.0,2020,60.25510399999999,13.007987999999996
Tranås,1.2,5.1,2016,58.031071052631575,14.943268421052638
Tranås,1.9,5.6,2020,58.031071052631575,14.943268421052638
Tranemo,1.0,2.2,2016,57.53374871794873,13.390592307692309
Tranemo,1.1,5.4,2020,57.53374871794873,13.390592307692309
Trelleborg,3.3,7.3,2016,55.389396491228105,13.203154385964906
Trelleborg,3.4,7.5,2020,55.389396491228105,13.203154385964906
Trollhättan,1.7,4.7,2016,58.2793114754098,12.281237704918016
Trollhättan,3.2,6.4,2020,58.2793114754098,12.281237704918016
Trosa,3.4,9.4,2016,58.907577777777774,17.499759259259257
Trosa,8.3,13.0,2020,58.907577777777774,17.499759259259257
Tyresö,4.0,8.1,2016,59.23528936170212,18.30191063829786
Tyresö,4.8,10.3,2020,59.23528936170212,18.30191063829786
Tyresö,4.8,10.3,2020,59.23528936170212,18.30191063829786
Uddevalla,1.2,3.0,2016,58.3161135135135,11.936189189189196
Uddevalla,2.3,4.1,2020,58.3161135135135,11.936189189189196
Ulricehamn,0.6,3.1,2016,57.81299302325581,13.408327906976744
Ulricehamn,1.8,3.9,2020,57.81299302325581,13.408327906976744
Umeå,1.9,4.4,2016,63.83457129629646,20.260061111111106
Umeå,2.3,4.6,2020,63.83457129629646,20.260061111111106
Uppsala,2.3,5.8,2016,59.86716459854032,17.658267883211696
Uppsala,3.1,6.7,2020,59.86716459854032,17.658267883211696
Uppsala,3.1,6.7,2020,59.86716459854032,17.658267883211696
Uppvidinge,2.0,4.6,2016,57.10058333333334,15.365716666666666
Uppvidinge,1.9,5.5,2020,57.10058333333334,15.365716666666666
Vadstena,,8.0,2016,58.44975999999997,14.886720000000002
Vadstena,1.9,7.7,2020,58.44975999999997,14.886720000000002
Vaggeryd,0.8,3.2,2016,57.49003333333334,14.116976190476194
Vaggeryd,1.3,4.0,2020,57.49003333333334,14.116976190476194
Valdemarsvik,2.6,3.8,2016,58.21631666666664,16.608705555555563
Valdemarsvik,2.3,3.3,2020,58.21631666666664,16.608705555555563
Vallentuna,4.2,11.5,2016,59.533404347826085,18.09420217391304
Vallentuna,5.8,12.9,2020,59.533404347826085,18.09420217391304
Vallentuna,5.8,12.9,2020,59.533404347826085,18.09420217391304
Vänersborg,1.7,3.6,2016,58.378074545454595,12.337658181818167
Vänersborg,1.9,5.0,2020,58.378074545454595,12.337658181818167
Vännäs,,5.9,2016,63.91176874999999,19.771387500000003
Vännäs,1.9,7.5,2020,63.91176874999999,19.771387500000003
Vansbro,2.1,6.6,2016,60.46333571428571,14.499821428571428
Vansbro,6.3,8.7,2020,60.46333571428571,14.499821428571428
Vara,4.8,10.7,2016,58.27788620689655,13.014831034482754
Vara,4.0,10.2,2020,58.27788620689655,13.014831034482754
Varberg,3.6,6.4,2016,57.12225166666664,12.282963333333347
Varberg,5.8,8.5,2020,57.12225166666664,12.282963333333347
Vårgårda,1.7,4.7,2016,58.03403913043478,12.778995652173913
Vårgårda,,5.3,2020,58.03403913043478,12.778995652173913
Värmdö,3.3,8.0,2016,59.333863513513485,18.464564864864872
Värmdö,4.5,9.4,2020,59.333863513513485,18.464564864864872
Värmdö,4.5,9.4,2020,59.333863513513485,18.464564864864872
Värnamo,1.0,2.7,2016,57.18556530612247,14.03074693877551
Värnamo,2.0,3.8,2020,57.18556530612247,14.03074693877551
Västerås,1.9,4.7,2016,59.615167701863555,16.55133354037264
Västerås,3.3,6.5,2020,59.615167701863555,16.55133354037264
Västervik,3.2,6.5,2016,57.79942878787882,16.55428484848484
Västervik,4.5,7.8,2020,57.79942878787882,16.55428484848484
Vaxholm,2.5,5.8,2016,59.40227826086956,18.352465217391316
Vaxholm,5.6,8.8,2020,59.40227826086956,18.352465217391316
Vaxholm,5.6,8.8,2020,59.40227826086956,18.352465217391316
Växjö,1.4,3.7,2016,56.877266304347835,14.812383695652157
Växjö,2.2,4.8,2020,56.877266304347835,14.812383695652157
Vellinge,2.5,4.9,2016,55.441327272727314,12.955487272727273
Vellinge,3.0,6.7,2020,55.441327272727314,12.955487272727273
Vetlanda,2.3,5.4,2016,57.44515999999996,15.092022857142862
Vetlanda,2.6,6.5,2020,57.44515999999996,15.092022857142862
Vilhelmina,3.5,9.0,2016,64.56896363636363,16.894954545454542
Vilhelmina,7.2,12.7,2020,64.56896363636363,16.894954545454542
Vimmerby,1.4,4.5,2016,57.680040476190456,15.9081619047619
Vimmerby,2.4,6.9,2020,57.680040476190456,15.9081619047619
Vindeln,3.3,7.4,2016,64.25790714285714,19.57968571428572
Vindeln,5.5,6.4,2020,64.25790714285714,19.57968571428572
Vingåker,3.1,5.9,2016,59.13092666666668,16.03093333333333
Vingåker,5.3,7.1,2020,59.13092666666668,16.03093333333333
Vingåker,5.3,7.1,2020,59.13092666666668,16.03093333333333
Ystad,2.1,3.7,2016,55.45339622641511,13.816128301886787
Ystad,2.3,4.6,2020,55.45339622641511,13.816128301886787
Upplands Väsby,6.3,9.8,2020,59.52182499999997,17.90558382352944
